"Theta [deg]","dB(RealizedGainTotal) [] - Freq='77GHz' Phi='0deg'","dB(RealizedGainTotal)_1 [] - Freq='77GHz' Phi='90.0000000000002deg'"
-180,-16.2116518041171,-16.211651804117
-179,-16.0416500989442,-17.3890158701207
-178,-16.2875273213733,-18.6353832955746
-177,-17.0211800319626,-18.4789252690518
-176,-18.3501337868393,-17.7008605335244
-175,-20.4505881696937,-17.4780289936357
-174,-23.7788717602164,-17.7327410350701
-173,-29.1348243137137,-18.2075364065899
-172,-32.8635010473223,-18.9232258425223
-171,-30.0358862406098,-19.6346356928367
-170,-27.7679827726624,-20.097445932273
-169,-26.5319069072689,-20.9452303806915
-168,-26.720241236699,-23.1734802832304
-167,-28.707273210928,-27.4782248029072
-166,-32.4444852952001,-33.5311818250034
-165,-34.3884724324529,-36.7426042999358
-164,-31.444030104804,-33.6968362531799
-163,-28.7676618072504,-29.5487971902989
-162,-26.6663727511086,-27.0645901212409
-161,-25.1945418553061,-26.0311811974221
-160,-24.5785120820339,-24.8595402197687
-159,-24.2937754278993,-21.9624002823385
-158,-24.0138306143007,-18.6921276706919
-157,-24.2002092399797,-16.2528950132185
-156,-24.8722779643898,-14.7730096761386
-155,-25.5257332908141,-14.0326426386224
-154,-26.1738108424904,-13.6311492280841
-153,-27.265280361607,-13.0779116954824
-152,-28.3447124472949,-12.1640327412753
-151,-28.2469567861806,-11.1838288377057
-150,-27.536778162116,-10.5112897973678
-149,-27.2246062110686,-10.2332332104172
-148,-26.9944017788682,-10.1626904817923
-147,-26.6810646490517,-10.018385802385
-146,-26.6825376594465,-9.6166372621583
-145,-27.4088921582941,-8.93214822573374
-144,-28.7670153272055,-8.05873460493321
-143,-29.755936367599,-7.17146693684925
-142,-28.7725262312008,-6.45788481269666
-141,-26.9134742660252,-6.02181399444135
-140,-25.6607915411869,-5.82246606844659
-139,-24.8559326962896,-5.68444220325851
-138,-24.1692592332539,-5.41097507888683
-137,-23.7674469992229,-4.95057582177076
-136,-24.0215640730904,-4.42434489489809
-135,-24.9077849045378,-3.98997256959579
-134,-25.6954414622843,-3.72963256421046
-133,-25.6547791132338,-3.62733376084041
-132,-25.1438624504407,-3.59638179835081
-131,-24.8746744673838,-3.53596203280628
-130,-25.2371071629284,-3.39401342791305
-129,-26.2801075248721,-3.1880285782421
-128,-27.4192569152501,-2.96984993668232
-127,-27.3884449158439,-2.78001402312155
-126,-26.1132702912117,-2.62899492990715
-125,-24.6708985818411,-2.50370558452928
-124,-23.5079891227955,-2.38423883062862
-123,-22.5932632971844,-2.25888436159619
-122,-21.8612519021591,-2.13019517307086
-121,-21.3709808771242,-2.01124659098866
-120,-21.2553673696281,-1.91723149827346
-119,-21.6170494849523,-1.85835345918016
-118,-22.4921842564713,-1.83656945107988
-117,-23.8601531227895,-1.84569572225084
-116,-25.5990765597988,-1.87354130278496
-115,-27.2352578435134,-1.90500789854592
-114,-27.7243916649924,-1.92535921013838
-113,-26.6774499415309,-1.92294802412195
-112,-25.0617108291697,-1.89087318004741
-111,-23.6014178064673,-1.82741149083025
-110,-22.466925775823,-1.73542956850824
-109,-21.6318462325967,-1.6211362108124
-108,-21.0314951266777,-1.49251912241905
-107,-20.601365683438,-1.35775565568971
-106,-20.2827014943337,-1.22384762469761
-105,-20.0236348963725,-1.0956713001118
-104,-19.7825168291795,-0.97553624308105
-103,-19.5316620887577,-0.863239378785965
-102,-19.2576926813983,-0.756520309001679
-101,-18.9573108115531,-0.651781461106716
-100,-18.6311389255085,-0.54492230241455
-99,-18.2793759098165,-0.432139541391375
-98,-17.9011073892264,-0.310563711650478
-97,-17.4965098578185,-0.178640902662893
-96,-17.0697445357016,-0.0362253050334104
-95,-16.6304754554178,0.115589022036508
-94,-16.1932010321492,0.274819384221442
-93,-15.7749864161756,0.439029329947264
-92,-15.3928342113522,0.605755699068651
-91,-15.0616853805847,0.772863851778244
-90,-14.793411996689,0.938800471929505
-89,-14.5966757770371,1.10274237131028
-88,-14.4773495056264,1.26466002053562
-87,-14.4392382620745,1.42532544503337
-86,-14.4849521884587,1.58629489775316
-85,-14.6168845530468,1.74988401129717
-84,-14.8383031263701,1.91912214244053
-83,-15.1545579980437,2.09762327142237
-82,-15.5743359142275,2.28925839034801
-81,-16.1107266604037,2.49749885523155
-80,-16.7815311794398,2.72438032810396
-79,-17.6074668173455,2.96925034314251
-78,-18.6049254136284,3.22775844995559
-77,-19.764903642336,3.49175568823772
-76,-21.0006552829372,3.75068900836903
-75,-22.0552983171434,3.99464675500747
-74,-22.4922362320349,4.21855580153926
-73,-22.0563623805694,4.4262620678831
-72,-21.0221617624313,4.63234937587311
-71,-19.8446967482043,4.85895797704848
-70,-18.7935210951865,5.12611771561362
-69,-17.9583763601123,5.43886056338569
-68,-17.3406832713874,5.77991690432024
-67,-16.9097335662859,6.11553305809942
-66,-16.634392485617,6.41250881702392
-65,-16.5052723860937,6.65677246886121
-64,-16.5468179099776,6.863447240837
-63,-16.8150947138545,7.07089971734503
-62,-17.3867157255673,7.31678040517293
-61,-18.3516029586747,7.60936052575819
-60,-19.8144721835929,7.92068210938636
-59,-21.8801678321141,8.21144308176602
-58,-24.4693016283634,8.46472783580123
-57,-26.3908401705246,8.69827556463309
-56,-25.4204368069771,8.94414578151661
-55,-22.9199540565081,9.21342120629639
-54,-20.7273046286676,9.48397780542964
-53,-19.1556353904197,9.72752995551314
-52,-18.1557842296012,9.94433613693853
-51,-17.6870597375681,10.1638142737475
-50,-17.7752110065381,10.4076195561717
-49,-18.5099621343191,10.6601727817502
-48,-20.0521346184634,10.888419172365
-47,-22.6466384856822,11.0857407723129
-46,-26.1991876212185,11.2806164481585
-45,-26.873055875557,11.4972010692033
-44,-22.9473958772177,11.7225537403523
-43,-19.4350234623581,11.9293866030896
-42,-17.0252451283063,12.1179832425237
-41,-15.5369812596493,12.3123691367035
-40,-14.8686900351078,12.5193886694942
-39,-15.0069272890095,12.7191776587044
-38,-16.0535685593033,12.9015742034446
-37,-18.3491965640399,13.0832761951736
-36,-22.8917433019534,13.2767515611679
-35,-28.7548181028315,13.4688002478363
-34,-21.0884937125536,13.6474949338741
-33,-15.7747598160905,13.824029852469
-32,-12.6233260522214,14.0082051032629
-31,-10.6721226553035,14.1882662604362
-30,-9.51139445089283,14.3561551999817
-29,-8.95537579951618,14.5254261174087
-28,-8.9071877282166,14.7034060059021
-27,-9.22799219749386,14.8745519725107
-26,-9.63539309659306,15.0305118513801
-25,-9.78413301836199,15.1847015510572
